K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
0.975432,1,1,1,0.1,10.0,5.331349113128065e-13,5.331373353084899e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.2,5.0,5.33483465036133e-13,5.331484160774885e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.3,3.3333333333333326,5.366578198246626e-13,5.363075347676383e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.4,2.5,5.329254586449676e-13,5.331887710118729e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.5,2.0,5.331508171689097e-13,5.331765174427151e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.6,1.6666666666666667,5.365432000305184e-13,5.365829876453847e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.7000000000000001,1.4285714285714284,5.37317770061785e-13,5.37444124962608e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.8,1.25,5.345425932762525e-13,5.334398995574109e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,0.9,1.1111111111111112,5.324467408804112e-13,5.339266644033611e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.0,1.0,5.35009211919553e-13,5.334069346408585e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.1,0.909090909090909,5.356500849300162e-13,5.363056297061028e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.2000000000000002,0.8333333333333331,5.362120062184129e-13,5.369708101828094e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.3000000000000005,0.769230769230769,5.36999093752502e-13,5.349878655356427e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.4,0.7142857142857142,5.388655018468312e-13,5.36575911068089e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.5000000000000002,0.6666666666666665,5.377691232275703e-13,5.374770417078034e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.6,0.625,5.330472281319965e-13,5.341162077149463e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.7000000000000002,0.588235294117647,5.360135166282179e-13,5.366575510070202e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.8000000000000005,0.5555555555555555,5.391203736976043e-13,5.383045084420159e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,1.9,0.5263157894736842,5.381380815636013e-13,5.359114635658117e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,2.0,0.5,5.371505672988737e-13,5.341569887464424e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,2.1,0.4761904761904761,5.381374083595903e-13,5.352237623264445e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,2.2,0.4545454545454545,5.39438124807292e-13,5.373264622914507e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
0.975432,1,1,1,2.3000000000000003,0.4347826086956521,5.390827495040309e-13,5.381564702131146e-13,0.25,50000000000.0,2700,4687.745257365777,2728.366575080293,2502.294445801098
