sample_size,mse,mae,mape,rmse,r2,mean_rel_error,std_rel_error,accuracy,accuracy_std
100,0.10248981742698703,0.2323848308122122,0.2244699860953608,0.31745891371217366,0.4530729892840921,22.44699860953608,26.729154474903634,77.55300139046392,6.032363175049935
200,0.07185995933307977,0.18121587867572866,0.1686602050933627,0.26803019655232346,0.6165262683172736,16.866020509336266,22.504163080138913,83.13397949066373,1.0829983444994342
500,0.0593463353201622,0.1654616049748677,0.15706503203089253,0.243594626521791,0.6833040141112249,15.706503203089255,21.215558620945117,84.29349679691074,0.11894007158738687
1000,0.05152153662242783,0.14012836500407058,0.13373765126860415,0.22697467815188108,0.7250602965268351,13.373765126860414,20.51546035890494,86.62623487313958,0.4368778605524048
2000,0.04455433389130522,0.12326635435061022,0.12126900457865031,0.21107332697423586,0.7622401009059306,12.126900457865032,20.716703490897697,87.87309954213497,0.3209605091701998
5000,0.0366230549948098,0.10826645677914987,0.1033125184290112,0.1913605932725363,0.8045646046167958,10.33125184290112,18.211315248192232,89.66874815709889,0.20804409063432866
10000,0.03303201221960697,0.09835896953512263,0.0965771597049691,0.1817301917846544,0.8237278575106144,9.65771597049691,18.666808605166334,90.34228402950309,0.31840817977107566
20000,0.029674593260701734,0.0911449415441914,0.0895706493426562,0.17225114082278692,0.841644399475606,8.957064934265619,17.666352131288107,91.0429350657344,0.24687557273358868
50000,0.02804252820488023,0.08457495484970984,0.08272806363994105,0.16744418866858743,0.8503537569970033,8.272806363994105,17.32743929759309,91.72719363600591,0.1700591242855181
100000,0.02735096074797237,0.08337678264876108,0.07977375144694517,0.16538011268791594,0.8540442399289732,7.977375144694517,17.102311423297355,92.02262485530548,0.06024734650865984
